msm_id,target_anchor_prb_id,is_mesh,msm_type,af,succeed_count,fail_count,succeed_ratio
12292623,6357,False,http,4,0,17,0.0
12292597,6357,True,http,4,0,928,0.0
12292626,6357,False,http,6,0,19,0.0
12292600,6357,True,http,6,0,868,0.0
12292622,6357,False,ping,4,0,17,0.0
12292596,6357,True,ping,4,0,928,0.0
12292625,6357,False,ping,6,0,19,0.0
12292599,6357,True,ping,6,0,868,0.0
12292621,6357,False,traceroute,4,0,17,0.0
12292595,6357,True,traceroute,4,0,928,0.0
12292624,6357,False,traceroute,6,0,19,0.0
12292598,6357,True,traceroute,6,0,867,0.0
16453141,6400,False,http,4,0,31,0.0
16453123,6400,True,http,4,0,931,0.0
16453144,6400,False,http,6,0,7,0.0
16453126,6400,True,http,6,0,870,0.0
16453140,6400,False,ping,4,0,31,0.0
16453122,6400,True,ping,4,0,931,0.0
16453143,6400,False,ping,6,0,7,0.0
16453125,6400,True,ping,6,0,870,0.0
16453139,6400,False,traceroute,4,0,31,0.0
16453121,6400,True,traceroute,4,0,931,0.0
16453142,6400,False,traceroute,6,0,7,0.0
16453124,6400,True,traceroute,6,0,869,0.0
88756408,6447,True,http,4,2,1007,0.0019821605550049554
19204811,6487,False,http,4,0,304,0.0
19204728,6487,True,http,4,0,995,0.0
19204814,6487,False,http,6,0,114,0.0
19204731,6487,True,http,6,0,923,0.0
19204810,6487,False,ping,4,0,305,0.0
19204727,6487,True,ping,4,0,995,0.0
19204813,6487,False,ping,6,0,114,0.0
19204730,6487,True,ping,6,0,924,0.0
19204809,6487,False,traceroute,4,0,304,0.0
19204726,6487,True,traceroute,4,0,995,0.0
19204812,6487,False,traceroute,6,0,114,0.0
19204729,6487,True,traceroute,6,0,923,0.0
19505683,6499,False,http,4,0,175,0.0
19505634,6499,True,http,4,0,994,0.0
19505682,6499,False,ping,4,0,175,0.0
19505633,6499,True,ping,4,0,994,0.0
19505681,6499,False,traceroute,4,0,175,0.0
19505632,6499,True,traceroute,4,0,994,0.0
22597187,6508,False,http,4,0,139,0.0
22581661,6508,True,http,4,0,985,0.0
22597186,6508,False,ping,4,0,139,0.0
22581660,6508,True,ping,4,0,985,0.0
22597185,6508,False,traceroute,4,0,139,0.0
22581659,6508,True,traceroute,4,0,985,0.0
20353679,6518,False,http,4,0,31,0.0
20353529,6518,True,http,4,0,954,0.0
20353682,6518,False,http,6,0,9,0.0
20353532,6518,True,http,6,0,891,0.0
20353678,6518,False,ping,4,0,31,0.0
20353528,6518,True,ping,4,0,954,0.0
20353681,6518,False,ping,6,0,9,0.0
20353531,6518,True,ping,6,0,891,0.0
20353677,6518,False,traceroute,4,0,31,0.0
20353527,6518,True,traceroute,4,0,954,0.0
20353680,6518,False,traceroute,6,0,9,0.0
20353530,6518,True,traceroute,6,0,890,0.0
21330291,6546,False,http,4,0,117,0.0
21317904,6546,True,http,4,0,992,0.0
21330294,6546,False,http,6,0,59,0.0
21317919,6546,True,http,6,0,921,0.0
88792094,6582,False,http,4,0,149,0.0
88535052,6582,True,http,4,0,1002,0.0
88792098,6582,False,http,6,0,3,0.0
88535055,6582,True,http,6,0,931,0.0
88792093,6582,False,ping,4,0,150,0.0
88535051,6582,True,ping,4,0,1002,0.0
88792097,6582,False,ping,6,0,3,0.0
88535054,6582,True,ping,6,0,931,0.0
88792092,6582,False,traceroute,4,0,149,0.0
88535050,6582,True,traceroute,4,0,1002,0.0
88792096,6582,False,traceroute,6,0,3,0.0
88535053,6582,True,traceroute,6,0,930,0.0
22460834,6586,False,http,4,0,39,0.0
22459603,6586,True,http,4,0,967,0.0
22460837,6586,False,http,6,0,35,0.0
22459606,6586,True,http,6,0,901,0.0
22460833,6586,False,ping,4,0,39,0.0
22459602,6586,True,ping,4,0,967,0.0
22460836,6586,False,ping,6,0,35,0.0
22459605,6586,True,ping,6,0,901,0.0
22460832,6586,False,traceroute,4,0,39,0.0
22459601,6586,True,traceroute,4,0,966,0.0
22460835,6586,False,traceroute,6,0,35,0.0
22459604,6586,True,traceroute,6,0,900,0.0
23119993,6633,False,http,4,0,148,0.0
23119201,6633,True,http,4,0,994,0.0
