msm_id,target_anchor_prb_id,is_mesh,msm_type,af,succeed_count,fail_count,succeed_ratio
9181658,6291,False,http,4,176,2,0.9887640449438202
8937124,6291,True,http,4,687,9,0.9870689655172413
9181661,6291,False,http,6,38,2,0.95
8937127,6291,True,http,6,585,62,0.9041731066460588
9181657,6291,False,ping,4,182,0,1.0
8937123,6291,True,ping,4,686,10,0.985632183908046
9181660,6291,False,ping,6,37,3,0.925
8937126,6291,True,ping,6,586,61,0.9057187017001546
9181656,6291,False,traceroute,4,178,0,1.0
8937122,6291,True,traceroute,4,685,11,0.9841954022988506
9181659,6291,False,traceroute,6,37,3,0.925
8937125,6291,True,traceroute,6,586,61,0.9057187017001546
20389582,6523,False,ping,4,110,1,0.990990990990991
20389536,6523,True,ping,4,975,13,0.9868421052631579
20389585,6523,False,ping,6,26,1,0.9629629629629629
20389539,6523,True,ping,6,842,72,0.9212253829321663
20389581,6523,False,traceroute,4,110,1,0.990990990990991
20389535,6523,True,traceroute,4,973,15,0.9848178137651822
20389584,6523,False,traceroute,6,26,1,0.9629629629629629
20389538,6523,True,traceroute,6,839,75,0.9179431072210066
23135203,6639,True,http,4,4,995,0.004004004004004004
23135206,6639,True,http,6,3,919,0.0032537960954446853
23135202,6639,True,ping,4,4,995,0.004004004004004004
23135205,6639,True,ping,6,3,919,0.0032537960954446853
23135201,6639,True,traceroute,4,4,995,0.004004004004004004
23135204,6639,True,traceroute,6,3,919,0.0032537960954446853
23157046,6642,False,ping,4,123,0,1.0
23154956,6642,True,ping,4,951,11,0.9885654885654885
23157049,6642,False,ping,6,90,5,0.9473684210526315
23154967,6642,True,ping,6,820,72,0.9192825112107623
23157045,6642,False,traceroute,4,123,0,1.0
23154955,6642,True,traceroute,4,952,10,0.9896049896049897
23157048,6642,False,traceroute,6,90,5,0.9473684210526315
23154966,6642,True,traceroute,6,817,75,0.9159192825112108
26502737,6831,False,ping,4,161,2,0.9877300613496932
26502094,6831,True,ping,4,969,14,0.9857578840284842
26502736,6831,False,traceroute,4,161,2,0.9877300613496932
26502093,6831,True,traceroute,4,971,12,0.987792472024415
26625829,6839,False,http,4,141,2,0.986013986013986
26625483,6839,True,http,4,981,13,0.9869215291750503
26625832,6839,False,http,6,100,15,0.8695652173913043
26625486,6839,True,http,6,845,74,0.9194776931447225
26625828,6839,False,ping,4,142,2,0.9861111111111112
26625482,6839,True,ping,4,980,14,0.9859154929577465
26625831,6839,False,ping,6,102,14,0.8793103448275862
26625485,6839,True,ping,6,848,71,0.9227421109902068
26625827,6839,False,traceroute,4,143,1,0.9930555555555556
26625481,6839,True,traceroute,4,976,18,0.9818913480885312
26625830,6839,False,traceroute,6,102,14,0.8793103448275862
26625484,6839,True,traceroute,6,847,72,0.9216539717083787
62010003,7267,False,ping,4,197,2,0.9899497487437185
62003602,7267,True,ping,4,951,12,0.9875389408099688
62010002,7267,False,traceroute,4,197,2,0.9899497487437185
62003601,7267,True,traceroute,4,953,10,0.9896157840083074
99711826,7524,True,ping,6,7,924,0.007518796992481203
99711825,7524,True,traceroute,6,7,924,0.007518796992481203
102389803,7529,False,http,4,3,130,0.022556390977443608
102380289,7529,True,http,4,3,1005,0.002976190476190476
102380288,7529,True,ping,4,3,1005,0.002976190476190476
102380286,7529,True,traceroute,4,3,1005,0.002976190476190476
109057739,7556,False,http,4,141,3,0.9791666666666666
109051929,7556,True,http,4,973,12,0.9878172588832488
109057752,7556,False,http,6,127,10,0.927007299270073
109051933,7556,True,http,6,835,78,0.9145673603504929
109057738,7556,False,ping,4,141,3,0.9791666666666666
109051928,7556,True,ping,4,973,12,0.9878172588832488
109057750,7556,False,ping,6,127,10,0.927007299270073
109051932,7556,True,ping,6,836,77,0.9156626506024096
109057736,7556,False,traceroute,4,141,3,0.9791666666666666
109051927,7556,True,traceroute,4,974,11,0.9888324873096447
109057749,7556,False,traceroute,6,125,12,0.9124087591240876
109051931,7556,True,traceroute,6,837,76,0.9167579408543264
125059450,7592,True,ping,4,891,29,0.9684782608695652
125059449,7592,True,traceroute,4,889,31,0.966304347826087
130868784,7619,False,http,4,145,1,0.9931506849315068
130863917,7619,True,http,4,982,12,0.9879275653923542
130868799,7619,False,http,6,121,13,0.9029850746268657
130863921,7619,True,http,6,843,80,0.9133261105092091
130868783,7619,False,ping,4,146,0,1.0
130863916,7619,True,ping,4,982,12,0.9879275653923542
130868798,7619,False,ping,6,123,11,0.917910447761194
130863920,7619,True,ping,6,843,80,0.9133261105092091
130868782,7619,False,traceroute,4,146,0,1.0
130863915,7619,True,traceroute,4,982,12,0.9879275653923542
130868797,7619,False,traceroute,6,123,11,0.917910447761194
130863919,7619,True,traceroute,6,845,78,0.9154929577464789
135857299,7640,False,http,4,76,65,0.5390070921985816
135841921,7640,True,http,4,223,787,0.2207920792079208
135857298,7640,False,ping,4,108,33,0.7659574468085106
135841920,7640,True,ping,4,744,266,0.7366336633663366
135857297,7640,False,traceroute,4,132,8,0.9428571428571428
135841919,7640,True,traceroute,4,260,750,0.25742574257425743
146215723,7682,False,ping,4,144,2,0.9863013698630136
146212856,7682,True,ping,4,979,13,0.9868951612903226
146215727,7682,False,ping,6,127,12,0.9136690647482014
146212875,7682,True,ping,6,840,81,0.9120521172638436
146215722,7682,False,traceroute,4,145,1,0.9931506849315068
